etm_sector,etm_subsector,use,ghg,year,unit,value
Other,Non-specified,energetic,other_ghg,2019,kton CO2-eq,0.02896
Other,Other transportation,energetic,co2,1990,kton CO2-eq,0.0
Other,Other transportation,energetic,other_ghg,1990,kton CO2-eq,0.0
Other,Other transportation,energetic,other_ghg,2019,kton CO2-eq,0.0
Transport,Non-specified,energetic,co2,1990,kton CO2-eq,348.40371
Transport,Non-specified,energetic,other_ghg,1990,kton CO2-eq,4.89411
Transport,Non-specified,energetic,other_ghg,2019,kton CO2-eq,5.36936
Waste,Non-specified,non_energetic,co2,1990,kton CO2-eq,0.37012
Waste,Non-specified,non_energetic,co2,2019,kton CO2-eq,0.55433
Waste,Non-specified,non_energetic,other_ghg,1990,kton CO2-eq,74.84657
Waste,Non-specified,non_energetic,other_ghg,2019,kton CO2-eq,183.79959
