key,demand,max_demand
energy_production_bio_ethanol,0.00000000000000E+00,
energy_production_biodiesel,6.02730100000000E+04,
energy_production_bio_oil,0.00000000000000E+00,
energy_production_biogas,1.23167418571428E+04,
energy_production_biogenic_waste,3.52012300000000E+04,3.85886213583970E+04
energy_production_non_biogenic_waste,2.88004500000000E+04,3.15718984819975E+04
energy_production_wood_pellets,,
energy_production_woody_biomass,,6.31286750700000E+04
energy_production_manure,,
energy_production_corn,,
energy_production_wood,6.06819804233463E+03,
