key,share
industry_final_demand_for_other_minerals_crude_oil,6.21691547183234E-01
industry_final_demand_for_other_transport_equipment_crude_oil,3.16406366107316E-02
industry_final_demand_for_other_machinery_crude_oil,5.12180626935830E-02
industry_final_demand_for_other_mining_crude_oil,2.46010405996564E-02
industry_final_demand_for_other_food_crude_oil,8.69315103400317E-02
industry_final_demand_for_other_paper_crude_oil,4.58733129973795E-02
industry_final_demand_for_other_wood_products_crude_oil,6.57201623701187E-03
industry_final_demand_for_other_construction_crude_oil,4.48512427105793E-02
industry_final_demand_for_other_textile_crude_oil,2.55237719121528E-02
industry_final_demand_for_other_non_specified_crude_oil,6.10968587156397E-02
