key,share
industry_final_demand_for_other_minerals_network_gas,2.40456697607176E-01
industry_final_demand_for_other_transport_equipment_network_gas,2.89253662812174E-02
industry_final_demand_for_other_machinery_network_gas,5.66295455627397E-02
industry_final_demand_for_other_mining_network_gas,3.10251293050683E-02
industry_final_demand_for_other_food_network_gas,1.02001349302926E-01
industry_final_demand_for_other_paper_network_gas,3.89311020633439E-02
industry_final_demand_for_other_wood_products_network_gas,7.65353308345789E-03
industry_final_demand_for_other_construction_network_gas,1.84443057518793E-01
industry_final_demand_for_other_textile_network_gas,2.92272645160856E-02
industry_final_demand_for_other_non_specified_network_gas,2.80706954759191E-01
