key,share
industry_final_demand_for_metal_steam_hot_water,4.59674386115738E-02
industry_final_demand_for_chemical_steam_hot_water,3.10751108961845E-01
industry_final_demand_for_other_steam_hot_water,6.43281452426582E-01
