key,share
industry_final_demand_for_other_minerals_electricity,1.04370315802336E-01
industry_final_demand_for_other_transport_equipment_electricity,1.28895577148412E-02
industry_final_demand_for_other_machinery_electricity,2.00056271663715E-01
industry_final_demand_for_other_mining_electricity,1.06476417074986E-02
industry_final_demand_for_other_food_electricity,3.32866348572213E-01
industry_final_demand_for_other_paper_electricity,4.93143690821842E-02
industry_final_demand_for_other_wood_products_electricity,2.95605245328498E-02
industry_final_demand_for_other_construction_electricity,5.05736713213373E-02
industry_final_demand_for_other_textile_electricity,1.68110622463446E-02
industry_final_demand_for_other_non_specified_electricity,1.92910237356679E-01
