key,demand,max_demand
energy_production_bio_ethanol,7.32771600000000E+04,
energy_production_biodiesel,3.38381660000000E+05,
energy_production_bio_oil,1.12794000000000E+05,
energy_production_biogas,3.69114385695630E+05,
energy_production_biogenic_waste,3.55857610000000E+05,1.21826100000000E+06
energy_production_non_biogenic_waste,5.71304180000000E+05,1.21826100000000E+06
energy_production_wood_pellets,,
energy_production_bio_residues_for_firing,,4.67479400000000E+06
energy_production_manure,,
energy_production_corn,,
energy_production_algae_diesel,0.00000000000000E+00,
energy_production_wood,3.65478332400000E+06,
