key,share
industry_final_demand_for_other_minerals_network_gas,1.30830168977192E-01
industry_final_demand_for_other_transport_equipment_network_gas,1.45561607471213E-02
industry_final_demand_for_other_machinery_network_gas,7.55411088344430E-02
industry_final_demand_for_other_mining_network_gas,1.48473245581024E-02
industry_final_demand_for_other_food_network_gas,3.85381072680447E-01
industry_final_demand_for_other_paper_network_gas,8.89909741728233E-02
industry_final_demand_for_other_wood_products_network_gas,3.56684140223919E-03
industry_final_demand_for_other_construction_network_gas,3.02136783309021E-02
industry_final_demand_for_other_textile_network_gas,1.75931955098416E-02
industry_final_demand_for_other_non_specified_network_gas,2.38479474786889E-01
