key,share
industry_final_demand_for_other_minerals_coal,4.78280060080635E-01
industry_final_demand_for_other_transport_equipment_coal,0.00000000000000E+00
industry_final_demand_for_other_machinery_coal,0.00000000000000E+00
industry_final_demand_for_other_mining_coal,9.22323381380274E-02
industry_final_demand_for_other_food_coal,3.18486653139740E-01
industry_final_demand_for_other_paper_coal,0.00000000000000E+00
industry_final_demand_for_other_wood_products_coal,0.00000000000000E+00
industry_final_demand_for_other_construction_coal,1.87686105035706E-02
industry_final_demand_for_other_textile_coal,0.00000000000000E+00
industry_final_demand_for_other_non_specified_coal,9.22323381380274E-02
