key,share
industry_final_demand_for_other_minerals_crude_oil,2.30855660709594E-02
industry_final_demand_for_other_transport_equipment_crude_oil,2.61941629260276E-02
industry_final_demand_for_other_machinery_crude_oil,9.90435516599493E-03
industry_final_demand_for_other_mining_crude_oil,1.90512658546266E-02
industry_final_demand_for_other_food_crude_oil,1.19055737851541E-02
industry_final_demand_for_other_paper_crude_oil,0.00000000000000E+00
industry_final_demand_for_other_wood_products_crude_oil,0.00000000000000E+00
industry_final_demand_for_other_construction_crude_oil,8.93001324829086E-01
industry_final_demand_for_other_textile_crude_oil,0.00000000000000E+00
industry_final_demand_for_other_non_specified_crude_oil,1.68577513681519E-02
