key,demand,max_demand
energy_production_bio_ethanol,1.76850000000000E+04,
energy_production_biodiesel,8.23250100000000E+04,
energy_production_bio_oil,0.00000000000000E+00,
energy_production_biogas,1.48347108294345E+04,
energy_production_biogenic_waste,5.28148500000000E+04,7.00000000000000E+04
energy_production_non_biogenic_waste,5.28148500000000E+04,7.00000000000000E+04
energy_production_wood_pellets,,
energy_production_bio_residues_for_firing,,5.82942025657440E+05
energy_production_manure,,
energy_production_corn,,
energy_production_wood,0.00000000000000E+00,
