key,share
industry_final_demand_for_other_minerals_coal,6.03959198514552E-01
industry_final_demand_for_other_transport_equipment_coal,9.27808326784287E-03
industry_final_demand_for_other_machinery_coal,3.28971586742140E-02
industry_final_demand_for_other_mining_coal,0.00000000000000E+00
industry_final_demand_for_other_food_coal,2.96562785005332E-01
industry_final_demand_for_other_paper_coal,1.83804952275425E-02
industry_final_demand_for_other_wood_products_coal,0.00000000000000E+00
industry_final_demand_for_other_construction_coal,0.00000000000000E+00
industry_final_demand_for_other_textile_coal,0.00000000000000E+00
industry_final_demand_for_other_non_specified_coal,3.89222793105169E-02
