key,share
industry_final_demand_for_other_minerals_crude_oil,3.52166887949881E-01
industry_final_demand_for_other_transport_equipment_crude_oil,1.04390534687748E-02
industry_final_demand_for_other_machinery_crude_oil,4.05497331053475E-02
industry_final_demand_for_other_mining_crude_oil,4.57334036061185E-02
industry_final_demand_for_other_food_crude_oil,1.42180458311933E-01
industry_final_demand_for_other_paper_crude_oil,3.10627033848081E-02
industry_final_demand_for_other_wood_products_crude_oil,8.33056432211040E-03
industry_final_demand_for_other_construction_crude_oil,2.53421876499315E-01
industry_final_demand_for_other_textile_crude_oil,7.57473121576468E-03
industry_final_demand_for_other_non_specified_crude_oil,1.08540588135946E-01
