converter_id;name;key;use_id;sector_id;energy_balance_group_id;co2_free;preset_demand;demand_expected_value;network_capacity_available_in_mw;network_capacity_used_in_mw;technical_lifetime;average_effective_output_of_nominal_capacity_over_lifetime;construction_time;costs_per_mj;network_expansion_costs_in_euro_per_mw;ccs_investment_per_mw_input;ccs_operation_and_maintenance_cost_per_full_load_hour;typical_nominal_input_capacity;decommissioning_costs_per_mw_input;full_load_hours;residual_value_per_mw_input;operation_and_maintenance_cost_fixed_per_mw_input;wacc;operation_and_maintenance_cost_variable_per_full_load_hour;land_use_per_unit;installing_costs_per_mw_input;purchase_price_per_mw_input;economic_lifetime;part_ets;simult_sd;simult_se;simult_wd;simult_we;peak_load_units_present;availability;variability;;;;;;;;;;;;;;;;;
80;Wind inland;wind_inland;3;5;26;0;NULL;2939431114.88768;;;20;1;1;;;0;0;3.09278350515464;0;2145;0;49651.875;0.1;0;0.2;0;1387039.375;20;1;0.5;0.5;0.5;0.5;123.079002911208;0.95;0.7;;;;;;;;;;;;;;;;;
81;Wind coastal;wind_coastal;3;5;26;0;NULL;1362012184.08139;;;18;1;1;;;0;0;3.09278350515464;0;2400;0;48888;0.1;0;0.2;0;1387039.375;18;1;0.5;0.5;0.5;0.5;50.9703633703299;0.95;0.7;;;;;;;;;;;;;;;;;
82;Wind offshore;wind_offshore;3;5;26;0;NULL;0;;;15;1;1.5;;;0;0;3.09278350515464;0;3300;0;102432;0.1;0;0.2;0;2425000;15;1;0.5;0.5;0.5;0.5;0;0.92;0.7;;;;;;;;;;;;;;;;;
83;Co-firing coal;co_firing_coal;3;5;26;0;NULL;0;;;30;0.99;3.5;;;0;0;2424.24242424242;0;6329.1;0;3155.625;0.1;2350;0.3;0;584375;30;1;1;1;1;1;0;0.89;0;;;;;;;;;;;;;;;;;
85;Solar CSP;solar_csp;3;5;26;0;NULL;0;;;30;1;0.5;;;0;0;142.857142857143;0;500;0;2800;0.1;50;2;0;1225000;30;1;1;1;1;1;0;0.99;0.015;;;;;;;;;;;;;;;;;
86;Central geothermal heat;geothermal_heat;3;5;24;0;NULL;0;;;25;1;0;;;0;0;8.5;0;3672.39293209657;0;3333.33333333333;0.1;0;0;0;1000000;25;0;;;;;;0;0;;;;;;;;;;;;;;;;;
87;Hydro river;hydro_river;3;5;26;0;NULL;0;;;45;1;2;;;0;0;10.2040816326531;0;2700;0;31360;0.1;0;0;0;3528000;45;1;1;1;1;1;0;0.98;0.015;;;;;;;;;;;;;;;;;
88;Hydro Mount.;hydro_mount;3;5;26;0;NULL;0;;;50;1;4;;;0;0;510.204081632653;0;3942;0;10615.0578539178;0.1;1246.04483013699;100;0;1211475.69767671;50;1;1;1;1;1;0;0.98;0;;;;;;;;;;;;;;;;;
90;Geothermal electricity;geothermal_electricity;3;5;26;0;NULL;0;;;30;1;4;;;0;0;28;0;8322;0;62186.145;0.1;0;1.5;0;822500;30;1;1;1;1;1;0;0.95;0;;;;;;;;;;;;;;;;;
91;national gas network;national_gas_network;3;5;;0;NULL;236171255072.396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;gas treatment;gas_treatment;3;5;29;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;diesel distribution;diesel_distribution;3;3;20;0;NULL;31676204083.8572;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;gasoline distribution;gasoline_distribution;3;3;20;0;NULL;19023032701.0776;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;kerosine distribution;kerosine_distribution;3;3;22;0;NULL;1036541961.87298;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;bio-diesel distribution;bio_diesel_distribution;3;3;22;0;NULL;966471725.250363;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;bio-ethanol distribution;bio_ethanol_distribution;3;3;22;0;NULL;383105909.108252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;LPG distribution;lpg_distribution;3;3;22;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;bio-oil production;bio_oil_production;3;5;33;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;biomass residuals;biomass_residuals;3;5;33;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;gas extraction;gas_extraction;3;5;34;0;573000000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;bio-oil distribution;bio_oil_distribution;3;5;28;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;oil extraction;oil_extraction;3;5;34;0;19745616865.3912;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;LNG import;lng_import;3;5;;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;coal extraction;coal_extraction;3;5;34;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;uranium import;uranium_import;3;5;;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;oil distribution;oil_distribution;3;5;28;0;NULL;86186695559.4228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;biomass distribution;biomass_distribution;3;5;28;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;greengas distribution;greengas_distribution;3;5;28;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;coal distribution;coal_distribution;3;5;28;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;coal demand other energetic;coal_demand;1;6;13;0;NULL;479369076.643465;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;oil demand other energetic;oil_demand;1;6;13;0;NULL;3293476040.1797;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;Oil demand industry energetic;oil_demand;1;2;13;0;NULL;-1.52587890625e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;Gas demand industry energetic;gas_demand;1;2;13;0;NULL;35800703121.9757;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;Coal demand industry non energetic;coal_demand;2;2;13;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;Biomass demand industry;biomass_demand;3;2;13;0;NULL;1062218711.62328;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;gas demand other;gas_demand;1;6;13;0;NULL;10891690321.7941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;trains diesel;trains_diesel;1;3;11;0;NULL;361131219.516545;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126;LPG production;lpg_production;3;3;23;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;diesel production;diesel_production;3;3;23;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;gasoline production;gasoline_production;3;3;23;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129;kerosine production;kerosine_production;3;3;23;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;bio-diesel production;bio_diesel_production;1;3;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
131;bio-ethanol production;bio_ethanol_production;1;3;23;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;greengas production;greengas_production;3;5;33;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;oil treatment;oil_treatment;3;5;29;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
136;uranium treatment;uranium_treatment;3;5;29;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
137;uranium distribution;uranium_distribution;3;5;28;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
