key,share
industry_final_demand_for_other_minerals_electricity,8.86748182271407E-02
industry_final_demand_for_other_transport_equipment_electricity,1.33524186396968E-01
industry_final_demand_for_other_machinery_electricity,2.41021525437864E-01
industry_final_demand_for_other_mining_electricity,1.25483204992501E-02
industry_final_demand_for_other_food_electricity,1.31209237615209E-01
industry_final_demand_for_other_paper_electricity,1.53774619543396E-01
industry_final_demand_for_other_wood_products_electricity,3.23948195228389E-02
industry_final_demand_for_other_construction_electricity,0.00000000000000E+00
industry_final_demand_for_other_textile_electricity,1.62911816136816E-02
industry_final_demand_for_other_non_specified_electricity,1.90561291143652E-01
