carrier_id;key
33;algae_diesel
8;ambient_cold
7;ambient_heat
19;bio_ethanol
24;bio_oil
65;bio_residues_for_diesel
63;bio_residues_for_digestion
64;bio_residues_for_ethanol
62;bio_residues_for_firing
18;biodiesel
34;biogas
59;biogenic_waste
30;car_kms
14;coal
38;compressed_network_gas
29;cooling
56;corn
3;crude_oil
16;diesel
70;diesel_mix
5;electricity
40;gas_power_fuelmix
15;gasoline
69;gasoline_mix
67;geothermal
13;greengas
68;heavy_fuel_oil
27;high_caloric_gas
2;hot_water
37;imported_electricity
54;imported_steam_hot_water
20;kerosine
32;light
35;lignite
28;lng
1;loss
26;low_caloric_gas
17;lpg
57;manure
9;natural_gas
66;network_gas
60;non_biogenic_waste
41;not_defined
42;savings
6;solar_radiation
61;solar_thermal
4;steam_hot_water
53;torrified_biomass_pellets
31;truck_kms
22;uranium_oxide
10;useable_heat
21;waste_mix
25;water
23;wind
58;wood
55;wood_pellets
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
