key,share
industry_final_demand_for_other_minerals_network_gas,1.19533046429225E-01
industry_final_demand_for_other_transport_equipment_network_gas,1.38789129235741E-02
industry_final_demand_for_other_machinery_network_gas,8.13553618259567E-02
industry_final_demand_for_other_mining_network_gas,2.34077110878562E-02
industry_final_demand_for_other_food_network_gas,3.39781088250356E-01
industry_final_demand_for_other_paper_network_gas,9.46436133177750E-02
industry_final_demand_for_other_wood_products_network_gas,5.74077624330517E-03
industry_final_demand_for_other_construction_network_gas,2.68436727579696E-02
industry_final_demand_for_other_textile_network_gas,2.10676796644613E-02
industry_final_demand_for_other_non_specified_network_gas,2.73748137499520E-01
