key,share
industry_final_demand_for_other_minerals_electricity,6.02377717215703E-02
industry_final_demand_for_other_transport_equipment_electricity,2.86970030389218E-02
industry_final_demand_for_other_machinery_electricity,1.45760113871252E-01
industry_final_demand_for_other_mining_electricity,1.29782438932204E-02
industry_final_demand_for_other_food_electricity,3.33298868668662E-01
industry_final_demand_for_other_paper_electricity,1.24922490405181E-01
industry_final_demand_for_other_wood_products_electricity,1.18924633532912E-02
industry_final_demand_for_other_construction_electricity,4.46742471696612E-02
industry_final_demand_for_other_textile_electricity,1.89245473712508E-02
industry_final_demand_for_other_non_specified_electricity,2.18614250506990E-01
