key,demand,max_demand
energy_production_bio_ethanol,2.62431640000000E+05,
energy_production_biodiesel,8.16175600000000E+04,
energy_production_bio_oil,8.80000000000000E+04,
energy_production_biogas,1.98260869565217E+03,
energy_production_biogenic_waste,0.00000000000000E+00,0.00000000000000E+00
energy_production_non_biogenic_waste,0.00000000000000E+00,0.00000000000000E+00
energy_production_wood_pellets,,
energy_production_woody_biomass,,6.32534160100000E+04
energy_production_manure,,
energy_production_corn,,
energy_production_wood,1.27196600000000E+06,
