key,value,unit
flh_of_energy_power_wind_turbine_coastal,2.55000000000000E+03,hours
flh_of_energy_power_wind_turbine_offshore,3.50000000000000E+03,hours
flh_of_energy_power_wind_turbine_inland,1.92000000000000E+03,hours
flh_of_energy_power_solar_pv_solar_radiation,8.67000000000000E+02,hours
flh_of_energy_heat_solar_thermal,684,hours
average_difference_in_air_temperature,0.0,degC
