key,share
industry_final_demand_for_other_minerals_crude_oil,3.55577823772634E-01
industry_final_demand_for_other_transport_equipment_crude_oil,1.48056887399737E-02
industry_final_demand_for_other_machinery_crude_oil,6.24853158150228E-02
industry_final_demand_for_other_mining_crude_oil,2.88462991521833E-02
industry_final_demand_for_other_food_crude_oil,9.39194104554564E-02
industry_final_demand_for_other_paper_crude_oil,4.27795317741089E-02
industry_final_demand_for_other_wood_products_crude_oil,9.25727392892552E-03
industry_final_demand_for_other_construction_crude_oil,1.21566234166983E-01
industry_final_demand_for_other_textile_crude_oil,1.56630035506841E-02
industry_final_demand_for_other_non_specified_crude_oil,2.55099418644027E-01
