key,share
industry_final_demand_for_other_minerals_wood_pellets,1.35100673593319E-01
industry_final_demand_for_other_transport_equipment_wood_pellets,1.54373914392126E-03
industry_final_demand_for_other_machinery_wood_pellets,2.84960722034291E-03
industry_final_demand_for_other_mining_wood_pellets,1.74539763277367E-02
industry_final_demand_for_other_food_wood_pellets,9.56866300658054E-02
industry_final_demand_for_other_paper_wood_pellets,4.78456324037307E-01
industry_final_demand_for_other_wood_products_wood_pellets,2.09802156460291E-01
industry_final_demand_for_other_construction_wood_pellets,0.00000000000000E+00
industry_final_demand_for_other_textile_wood_pellets,0.00000000000000E+00
industry_final_demand_for_other_non_specified_wood_pellets,5.91068931512769E-02
