key,share
industry_final_demand_for_other_minerals_network_gas,2.92114323609178E-01
industry_final_demand_for_other_transport_equipment_network_gas,6.10449879091261E-02
industry_final_demand_for_other_machinery_network_gas,1.07315552976555E-01
industry_final_demand_for_other_mining_network_gas,1.09458628053231E-02
industry_final_demand_for_other_food_network_gas,2.88884671796701E-01
industry_final_demand_for_other_paper_network_gas,1.14071714703166E-01
industry_final_demand_for_other_wood_products_network_gas,9.06937346639962E-03
industry_final_demand_for_other_construction_network_gas,4.19921901332739E-02
industry_final_demand_for_other_textile_network_gas,2.63194061661352E-02
industry_final_demand_for_other_non_specified_network_gas,4.82419164341429E-02
