key,demand,max_demand
energy_production_bio_ethanol,8.10799000000000E+03,
energy_production_biodiesel,1.86312600000000E+04,
energy_production_bio_oil,0.00000000000000E+00,
energy_production_biogas,9.48866608695652E+03,
energy_production_biogenic_waste,7.35357000000000E+03,5.59930000000000E+04
energy_production_non_biogenic_waste,7.35357000000000E+03,5.59930000000000E+04
energy_production_wood_pellets,,
energy_production_bio_residues_for_firing,,2.76816826805760E+05
energy_production_manure,,
energy_production_corn,,
energy_production_wood,3.43090000000000E+04,
