key,share
industry_final_demand_for_other_minerals_electricity,1.53391782170887E-01
industry_final_demand_for_other_transport_equipment_electricity,1.21098854598610E-01
industry_final_demand_for_other_machinery_electricity,3.14803300229514E-02
industry_final_demand_for_other_mining_electricity,2.33528497194131E-02
industry_final_demand_for_other_food_electricity,2.92425266607237E-01
industry_final_demand_for_other_paper_electricity,1.41525751216338E-01
industry_final_demand_for_other_wood_products_electricity,2.03727234477732E-02
industry_final_demand_for_other_construction_electricity,5.02275574100169E-02
industry_final_demand_for_other_textile_electricity,6.16060298349705E-02
industry_final_demand_for_other_non_specified_electricity,1.04518854971803E-01
