key,share,
transport_car_using_electricity,9.55E-01,
transport_truck_using_electricity,1.93E-02,
transport_bus_using_electricity,2.43E-02,
transport_bicycle_using_electricity,0.00E+00,
transport_motorcycle_using_electricity,1.78E-03,
