key,share
industry_final_demand_for_other_minerals_steam_hot_water,0.00000000000000E+00
industry_final_demand_for_other_transport_equipment_steam_hot_water,0.00000000000000E+00
industry_final_demand_for_other_machinery_steam_hot_water,0.00000000000000E+00
industry_final_demand_for_other_mining_steam_hot_water,0.00000000000000E+00
industry_final_demand_for_other_food_steam_hot_water,4.96582777675337E-01
industry_final_demand_for_other_paper_steam_hot_water,4.86170510174341E-01
industry_final_demand_for_other_wood_products_steam_hot_water,0.00000000000000E+00
industry_final_demand_for_other_construction_steam_hot_water,0.00000000000000E+00
industry_final_demand_for_other_textile_steam_hot_water,7.73261796703525E-03
industry_final_demand_for_other_non_specified_steam_hot_water,9.51409418328704E-03
