key,share
industry_final_demand_for_other_minerals_electricity,8.77997657320790E-02
industry_final_demand_for_other_transport_equipment_electricity,1.03709407767444E-01
industry_final_demand_for_other_machinery_electricity,2.12603602159963E-01
industry_final_demand_for_other_mining_electricity,9.80748859810653E-03
industry_final_demand_for_other_food_electricity,1.30681141017731E-01
industry_final_demand_for_other_paper_electricity,1.60728660131538E-01
industry_final_demand_for_other_wood_products_electricity,2.02805068051058E-02
industry_final_demand_for_other_construction_electricity,1.12059874835224E-02
industry_final_demand_for_other_textile_electricity,2.49077047559790E-02
industry_final_demand_for_other_non_specified_electricity,2.38275735548531E-01
