key,share
industry_final_demand_for_other_minerals_coal,5.93476580700905E-01
industry_final_demand_for_other_transport_equipment_coal,1.49967604259065E-02
industry_final_demand_for_other_machinery_coal,8.54570241423442E-03
industry_final_demand_for_other_mining_coal,1.52028972909505E-02
industry_final_demand_for_other_food_coal,6.10876185237653E-02
industry_final_demand_for_other_paper_coal,1.12972779035267E-01
industry_final_demand_for_other_wood_products_coal,2.75769173050527E-04
industry_final_demand_for_other_construction_coal,7.79714310208705E-04
industry_final_demand_for_other_textile_coal,1.60024675181570E-02
industry_final_demand_for_other_non_specified_coal,1.76659710607555E-01
