key,demand,full_load_hours,electricity_output_conversion,heat_output_conversion
energy_heat_burner_wood_pellets,8.08E+03,2.19E+03,0.00E+00,9.00E-01
energy_heat_burner_coal,2.66E+04,2.19E+03,0.00E+00,7.20E-01
energy_heat_burner_hydrogen,0.00E+00,2.19E+03,0.00E+00,1.10E+00
energy_heat_burner_crude_oil,1.14E+04,2.19E+03,0.00E+00,7.20E-01
energy_heat_burner_network_gas,1.33E+05,2.19E+03,0.00E+00,1.03E+00
energy_heat_burner_waste_mix,3.09E+04,2.19E+03,0.00E+00,1.05E+00
energy_heat_heatpump_water_water_electricity,0.00E+00,6.50E+03,0.00E+00,1.00E+00
energy_chp_local_engine_network_gas,3.00E+02,4.00E+03,4.30E-01,4.70E-01
energy_chp_local_engine_biogas,5.69E+03,8.00E+03,4.30E-01,4.70E-01
energy_chp_local_wood_pellets,0.00E+00,6.00E+03,2.89E-01,8.21E-01
energy_chp_combined_cycle_network_gas,1.61E+05,4.50E+03,4.60E-01,4.20E-01
energy_chp_ultra_supercritical_cofiring_coal,1.11E+04,4.50E+03,3.70E-01,1.50E-01
energy_chp_ultra_supercritical_coal,5.68E+04,4.50E+03,4.00E-01,1.50E-01
energy_chp_ultra_supercritical_lignite,1.94E+04,7.00E+03,3.50E-01,1.50E-01
energy_chp_supercritical_waste_mix,2.79E+04,6.00E+03,2.70E-01,1.50E-01
energy_hydrogen_wind_turbine_offshore,0.00E+00,4.00E+03,,
energy_hydrogen_electrolysis_wind_electricity,0.00E+00,4.00E+03,,
energy_hydrogen_solar_pv_solar_radiation,0.00E+00,8.67E+02,,
energy_hydrogen_electrolysis_solar_electricity,0.00E+00,1.87E+03,,
energy_hydrogen_steam_methane_reformer,0.00E+00,7.50E+03,,
energy_hydrogen_steam_methane_reformer_ccs,0.00E+00,7.50E+03,,
energy_hydrogen_biomass_gasification,0.00E+00,7.88E+03,,
energy_hydrogen_biomass_gasification_ccs,0.00E+00,7.88E+03,,
energy_power_supercritical_coal,6.84E+05,6.80E+03,3.60E-01,0.00E+00
energy_power_ultra_supercritical_coal,2.18E+05,7.70E+03,4.60E-01,0.00E+00
energy_power_ultra_supercritical_ccs_coal,0.00E+00,6.00E+03,3.61E-01,0.00E+00
energy_power_ultra_supercritical_cofiring_coal,1.19E+05,7.70E+03,4.20E-01,0.00E+00
energy_power_combined_cycle_coal,5.46E+04,4.60E+03,4.53E-01,0.00E+00
energy_power_combined_cycle_ccs_coal,0.00E+00,4.50E+03,3.73E-01,0.00E+00
energy_power_ultra_supercritical_lignite,6.30E+05,6.33E+03,4.00E-01,0.00E+00
energy_power_ultra_supercritical_oxyfuel_ccs_lignite,0.00E+00,5.97E+03,3.05E-01,0.00E+00
energy_power_turbine_network_gas,2.25E+04,5.00E+02,3.40E-01,0.00E+00
energy_power_combined_cycle_network_gas,4.70E+05,4.20E+03,6.00E-01,0.00E+00
energy_power_combined_cycle_ccs_network_gas,0.00E+00,3.50E+03,4.90E-01,0.00E+00
energy_power_ultra_supercritical_network_gas,2.33E+05,7.00E+02,4.00E-01,0.00E+00
energy_power_ultra_supercritical_crude_oil,3.06E+04,3.50E+03,4.50E-01,0.00E+00
energy_power_engine_diesel,3.51E+03,3.50E+03,3.80E-01,0.00E+00
energy_power_engine_network_gas,0.00E+00,1.00E+00,4.80E-01,0.00E+00
energy_power_supercritical_waste_mix,6.94E+04,3.80E+03,2.50E-01,0.00E+00
energy_power_nuclear_gen2_uranium_oxide,8.31E+05,5.26E+03,3.20E-01,0.00E+00
energy_power_nuclear_gen3_uranium_oxide,2.75E+05,7.84E+03,3.60E-01,0.00E+00
energy_power_hydro_river,4.41E+04,2.50E+03,,
energy_power_hydro_mountain,0.00E+00,3.94E+03,,
energy_power_geothermal,2.02E+02,8.25E+03,,
energy_power_solar_pv_solar_radiation,1.24E+05,8.72E+02,,
energy_power_solar_csp_solar_radiation,0.00E+00,5.00E+02,,
energy_power_turbine_hydrogen,0.00E+00,5.00E+02,,
energy_power_wind_turbine_coastal,1.19E+04,3.00E+03,,
energy_power_wind_turbine_offshore,1.44E+04,3.50E+03,,
energy_power_wind_turbine_inland,6.27E+04,2.50E+03,,
buildings_solar_pv_solar_radiation,4.24E+02,8.72E+02,,
households_solar_pv_solar_radiation,0.00E+00,8.72E+02,,
industry_chp_turbine_gas_power_fuelmix,1.62E+05,6.00E+03,3.80E-01,4.20E-01
industry_chp_engine_gas_power_fuelmix,2.94E+04,6.00E+03,4.20E-01,4.80E-01
industry_chp_combined_cycle_gas_power_fuelmix,0.00E+00,0.00E+00,4.60E-01,4.20E-01
industry_chp_ultra_supercritical_coal,2.66E+04,7.00E+03,4.00E-01,1.50E-01
industry_chp_wood_pellets,0.00E+00,6.00E+03,2.79E-01,8.35E-01
industry_heat_burner_lignite,1.38E+03,2.19E+03,0.00E+00,7.20E-01
industry_heat_burner_coal,1.09E+04,2.19E+03,0.00E+00,7.20E-01
industry_heat_burner_crude_oil,0.00E+00,2.19E+03,0.00E+00,7.20E-01
