key,share
industry_final_demand_for_other_minerals_coal,6.13528933121531E-01
industry_final_demand_for_other_transport_equipment_coal,2.99811990068197E-02
industry_final_demand_for_other_machinery_coal,8.89571578155390E-03
industry_final_demand_for_other_mining_coal,0.00000000000000E+00
industry_final_demand_for_other_food_coal,1.69993862731905E-02
industry_final_demand_for_other_paper_coal,4.84213083866832E-02
industry_final_demand_for_other_wood_products_coal,0.00000000000000E+00
industry_final_demand_for_other_construction_coal,3.60900100703493E-03
industry_final_demand_for_other_textile_coal,3.72613686239518E-02
industry_final_demand_for_other_non_specified_coal,2.41303087799235E-01
