,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Transformation,,,,,,,,,
Blast furnaces,-94300,-281658,176482,0,0,0,0,0,0
Coke ovens,-301571,228914,59879,0,0,0,0,0,0
Energy industry own use,,,,,,,,,
Coke ovens,0,-,27820,0,0,0,0,1134,0
Blast furnaces,-,-,-,-,-,-,-,-,-
Total final consumption,,,,,,,,,
Industry - Steel,0,-,107385.6802,74494.77438,0,0,0,64899.77302,0
Industry - Aluminium,0,-,0,1748.666667,0,0,0,20223.76,0
Industry - Other metals,54381,-,-,52304.25325,14565,0,4256.565997,64213.46698,63.09339297
