key,share
industry_final_demand_for_other_minerals_electricity,1.21383101325338E-01
industry_final_demand_for_other_transport_equipment_electricity,5.38589449715889E-02
industry_final_demand_for_other_machinery_electricity,1.04776176757688E-01
industry_final_demand_for_other_mining_electricity,5.85922898267807E-02
industry_final_demand_for_other_food_electricity,1.44675649903749E-01
industry_final_demand_for_other_paper_electricity,1.01326452105102E-01
industry_final_demand_for_other_wood_products_electricity,5.04358834939573E-02
industry_final_demand_for_other_construction_electricity,2.16344555955272E-02
industry_final_demand_for_other_textile_electricity,1.31304624694274E-02
industry_final_demand_for_other_non_specified_electricity,3.30186583550841E-01
