key,share
industry_final_demand_for_other_minerals_network_gas,3.99657052474019E-01
industry_final_demand_for_other_transport_equipment_network_gas,3.34391644051272E-02
industry_final_demand_for_other_machinery_network_gas,7.55060768619026E-02
industry_final_demand_for_other_mining_network_gas,1.55346719424680E-02
industry_final_demand_for_other_food_network_gas,2.24586194712608E-01
industry_final_demand_for_other_paper_network_gas,5.18362880219595E-02
industry_final_demand_for_other_wood_products_network_gas,3.25507098374683E-02
industry_final_demand_for_other_construction_network_gas,1.58653424590864E-02
industry_final_demand_for_other_textile_network_gas,1.12709018884734E-02
industry_final_demand_for_other_non_specified_network_gas,1.39753597396888E-01
