key,share
industry_final_demand_for_other_minerals_wood_pellets,1.02433304759525E-02
industry_final_demand_for_other_transport_equipment_wood_pellets,1.01194801222179E-04
industry_final_demand_for_other_machinery_wood_pellets,6.79593251809943E-04
industry_final_demand_for_other_mining_wood_pellets,6.03896338636836E-04
industry_final_demand_for_other_food_wood_pellets,1.09107903620973E-02
industry_final_demand_for_other_paper_wood_pellets,4.32641341929700E-01
industry_final_demand_for_other_wood_products_wood_pellets,4.63168822066331E-01
industry_final_demand_for_other_construction_wood_pellets,3.01999982361181E-03
industry_final_demand_for_other_textile_wood_pellets,1.01194801222179E-04
industry_final_demand_for_other_non_specified_wood_pellets,7.85298361494164E-02
