key,share
industry_steel_blastfurnace_current_consumption_useable_heat,1.43341488864776E-01
industry_steel_blastfurnace_bat_consumption_useable_heat,0.00000000000000E+00
industry_steel_hisarna_consumption_useable_heat,0.00000000000000E+00
industry_steel_electricfurnace_electricity,6.22298193966417E-01
industry_aluminium_electrolysis_current_electricity,7.25946934588084E-02
industry_aluminium_electrolysis_bat_electricity,0.00000000000000E+00
industry_aluminium_smeltoven_electricity,1.37137289202948E-03
industry_aluminium_carbothermalreduction_electricity,0.00000000000000E+00
industry_other_metals_process_electricity,1.60394250817969E-01
