key,demand,max_demand
energy_production_bio_ethanol,0.00000000000000E+00,
energy_production_biodiesel,4.35490000000000E+04,
energy_production_bio_oil,0.00000000000000E+00,
energy_production_biogas,9.64273157992598E+03,
energy_production_biogenic_waste,3.55681600000000E+04,3.76110000000000E+04
energy_production_non_biogenic_waste,2.79466400000000E+04,2.95510000000000E+04
energy_production_wood_pellets,,
energy_production_woody_biomass,,8.65871706067200E+04
energy_production_manure,,
energy_production_corn,,
energy_production_wood,2.55100000000000E+03,
