from,to,carrier,attribute,query
households_final_demand_coal,households_final_demand_for_space_heating_coal,coal,parent_share,"SHARE(residences_final_demand_coal_parent_share, households_final_demand_for_space_heating_coal)"
households_final_demand_crude_oil,households_final_demand_for_space_heating_crude_oil,crude_oil,parent_share,"SHARE(residences_final_demand_crude_oil_parent_share, households_final_demand_for_space_heating_crude_oil)"
households_final_demand_network_gas,households_final_demand_for_cooking_network_gas,network_gas,parent_share,"SHARE(residences_final_demand_network_gas_parent_share, households_final_demand_for_cooking_network_gas)"
households_final_demand_network_gas,households_final_demand_for_cooling_network_gas,network_gas,parent_share,"SHARE(residences_final_demand_network_gas_parent_share, households_final_demand_for_cooling_network_gas)"
households_final_demand_network_gas,households_final_demand_for_hot_water_network_gas,network_gas,parent_share,"SHARE(residences_final_demand_network_gas_parent_share, households_final_demand_for_hot_water_network_gas)"
households_final_demand_wood_pellets,households_final_demand_for_space_heating_wood_pellets,wood_pellets,parent_share,"SHARE(residences_final_demand_wood_pellets_parent_share, households_final_demand_for_space_heating_wood_pellets)"
households_final_demand_wood_pellets,households_final_demand_for_hot_water_wood_pellets,wood_pellets,parent_share,"SHARE(residences_final_demand_wood_pellets_parent_share, households_final_demand_for_hot_water_wood_pellets)"
households_final_demand_electricity,households_final_demand_for_cooling_electricity,electricity,parent_share,"SHARE(residences_final_demand_electricity_parent_share, households_final_demand_for_cooling_electricity)"
households_final_demand_electricity,households_final_demand_for_space_heating_electricity,electricity,parent_share,"SHARE(residences_final_demand_electricity_parent_share, households_final_demand_for_space_heating_electricity)"
households_final_demand_electricity,households_final_demand_for_hot_water_electricity,electricity,parent_share,"SHARE(residences_final_demand_electricity_parent_share, households_final_demand_for_hot_water_electricity)"
households_final_demand_electricity,households_final_demand_for_cooking_electricity,electricity,parent_share,"SHARE(residences_final_demand_electricity_parent_share, households_final_demand_for_cooking_electricity)"
households_final_demand_electricity,households_final_demand_for_lighting_electricity,electricity,parent_share,"SHARE(residences_final_demand_electricity_parent_share, households_final_demand_for_lighting_electricity)"
households_final_demand_steam_hot_water,households_final_demand_for_hot_water_steam_hot_water,steam_hot_water,parent_share,"SHARE(residences_final_demand_steam_hot_water_parent_share, households_final_demand_for_hot_water_steam_hot_water)"
households_final_demand_for_cooling_electricity,households_cooling_airconditioning_electricity,electricity,parent_share,"SHARE(residences_final_demand_for_cooling_electricity_parent_share, households_cooling_airconditioning_electricity)"
households_final_demand_for_cooling_electricity,households_cooling_heatpump_ground_water_electricity,electricity,parent_share,"SHARE(residences_final_demand_for_cooling_electricity_parent_share, households_cooling_heatpump_ground_water_electricity)"
households_final_demand_for_space_heating_network_gas,households_space_heater_network_gas,network_gas,parent_share,"SHARE(residences_final_demand_for_space_heating_network_gas_parent_share, households_space_heater_network_gas)"
households_final_demand_for_space_heating_network_gas,households_space_heater_combined_network_gas,network_gas,parent_share,"SHARE(residences_final_demand_for_space_heating_network_gas_parent_share, households_space_heater_combined_network_gas)"
households_final_demand_for_space_heating_electricity,households_space_heater_electricity,electricity,parent_share,"SHARE(residences_final_demand_for_space_heating_electricity_parent_share, households_space_heater_electricity)"
households_final_demand_for_space_heating_electricity,households_space_heater_heatpump_air_water_electricity,electricity,parent_share,"SHARE(residences_final_demand_for_space_heating_electricity_parent_share, households_space_heater_heatpump_air_water_electricity)"
households_final_demand_for_space_heating_electricity,households_space_heater_heatpump_ground_water_electricity,electricity,parent_share,"SHARE(residences_final_demand_for_space_heating_electricity_parent_share, households_space_heater_heatpump_ground_water_electricity)"
households_final_demand_for_hot_water_network_gas,households_water_heater_combined_network_gas,network_gas,parent_share,"SHARE(residences_final_demand_for_hot_water_network_gas_parent_share, households_water_heater_combined_network_gas)"
households_final_demand_for_hot_water_network_gas,households_water_heater_fuel_cell_chp_network_gas,network_gas,parent_share,"SHARE(residences_final_demand_for_hot_water_network_gas_parent_share, households_water_heater_fuel_cell_chp_network_gas)"
households_final_demand_for_hot_water_network_gas,households_water_heater_micro_chp_network_gas,network_gas,parent_share,"SHARE(residences_final_demand_for_hot_water_network_gas_parent_share, households_water_heater_micro_chp_network_gas)"
households_final_demand_for_hot_water_electricity,households_water_heater_heatpump_air_water_electricity,electricity,parent_share,"SHARE(residences_final_demand_for_hot_water_electricity_parent_share, households_water_heater_heatpump_air_water_electricity)"
households_final_demand_for_hot_water_electricity,households_water_heater_heatpump_ground_water_electricity,electricity,parent_share,"SHARE(residences_final_demand_for_hot_water_electricity_parent_share, households_water_heater_heatpump_ground_water_electricity)"
households_final_demand_for_cooking_electricity,households_cooker_halogen_electricity,electricity,parent_share,"SHARE(residences_final_demand_for_cooking_electricity_parent_share, households_cooker_halogen_electricity)"
households_final_demand_for_cooking_electricity,households_cooker_induction_electricity,electricity,parent_share,"SHARE(residences_final_demand_for_cooking_electricity_parent_share, households_cooker_induction_electricity)"
households_final_demand_for_lighting_electricity,households_lighting_efficient_fluorescent_electricity,electricity,parent_share,"SHARE(residences_final_demand_for_lighting_electricity_parent_share, households_lighting_efficient_fluorescent_electricity)"
households_final_demand_for_lighting_electricity,households_lighting_incandescent_electricity,electricity,parent_share,"SHARE(residences_final_demand_for_lighting_electricity_parent_share, households_lighting_incandescent_electricity)"
households_final_demand_for_appliances_electricity,households_appliances_clothes_dryer_electricity,electricity,parent_share,"SHARE(residences_final_demand_for_appliances_electricity_parent_share, households_appliances_clothes_dryer_electricity)"
households_final_demand_for_appliances_electricity,households_appliances_computer_media_electricity,electricity,parent_share,"SHARE(residences_final_demand_for_appliances_electricity_parent_share, households_appliances_computer_media_electricity)"
households_final_demand_for_appliances_electricity,households_appliances_dishwasher_electricity,electricity,parent_share,"SHARE(residences_final_demand_for_appliances_electricity_parent_share, households_appliances_dishwasher_electricity)"
households_final_demand_for_appliances_electricity,households_appliances_fridge_freezer_electricity,electricity,parent_share,"SHARE(residences_final_demand_for_appliances_electricity_parent_share, households_appliances_fridge_freezer_electricity)"
households_final_demand_for_appliances_electricity,households_appliances_other_electricity,electricity,parent_share,"SHARE(residences_final_demand_for_appliances_electricity_parent_share, households_appliances_other_electricity)"
households_final_demand_for_appliances_electricity,households_appliances_television_electricity,electricity,parent_share,"SHARE(residences_final_demand_for_appliances_electricity_parent_share, households_appliances_television_electricity)"
households_final_demand_for_appliances_electricity,households_appliances_vacuum_cleaner_electricity,electricity,parent_share,"SHARE(residences_final_demand_for_appliances_electricity_parent_share, households_appliances_vacuum_cleaner_electricity)"
households_useful_demand_for_cooling_after_insulation,households_new_houses_useful_demand_for_cooling,cooling,parent_share,"SHARE(residences_useful_demand_for_cooling_after_insulation_parent_share, households_new_houses_useful_demand_for_cooling)"
households_useful_demand_for_space_heating_after_insulation,households_new_houses_useful_demand_for_heating,useable_heat,parent_share,"SHARE(residences_useful_demand_for_space_heating_after_insulation_parent_share, households_new_houses_useful_demand_for_heating)"
households_space_heater_heatpump_add_on_electricity,households_useful_demand_for_hot_water_for_houses_with_add_on,useable_heat,parent_share,"SHARE(residences_space_heater_heatpump_add_on_electricity_parent_share, households_useful_demand_for_hot_water_for_houses_with_add_on)"
households_water_heater_solar_thermal,households_useful_demand_for_hot_water_for_houses_with_solar_heater,useable_heat,parent_share,"SHARE(residences_water_heater_solar_thermal_parent_share, households_useful_demand_for_hot_water_for_houses_with_solar_heater)"
