from,to,carrier,attribute,query
industry_final_demand_electricity,industry_final_demand_for_metal_electricity,electricity,parent_share,"SHARE(industry_final_demand_electricity_parent_share, industry_final_demand_for_metal_electricity)"
industry_final_demand_coal,industry_final_demand_for_metal_coal,coal,parent_share,"SHARE(industry_final_demand_coal_parent_share, industry_final_demand_for_metal_coal)"
industry_final_demand_coal_gas,industry_final_demand_for_metal_coal_gas,coal_gas,parent_share,"SHARE(industry_final_demand_coal_gas_parent_share, industry_final_demand_for_metal_coal_gas)"
industry_final_demand_network_gas,industry_final_demand_for_metal_network_gas,network_gas,parent_share,"SHARE(industry_final_demand_network_gas_parent_share, industry_final_demand_for_metal_network_gas)"
industry_final_demand_wood_pellets,industry_final_demand_for_metal_wood_pellets,wood_pellets,parent_share,"SHARE(industry_final_demand_wood_pellets_parent_share, industry_final_demand_for_metal_wood_pellets)"
industry_final_demand_crude_oil,industry_final_demand_for_metal_crude_oil,crude_oil,parent_share,"SHARE(industry_final_demand_crude_oil_parent_share, industry_final_demand_for_metal_crude_oil)"
industry_final_demand_steam_hot_water,industry_final_demand_for_metal_steam_hot_water,steam_hot_water,parent_share,"SHARE(industry_final_demand_steam_hot_water_parent_share, industry_final_demand_for_metal_steam_hot_water)"
industry_final_demand_for_metal_electricity,industry_aluminium_electrolysis_current_electricity,electricity,parent_share,"SHARE(industry_final_demand_for_metal_electricity_parent_share, industry_aluminium_electrolysis_current_electricity)"
industry_final_demand_for_metal_electricity,industry_aluminium_electrolysis_bat_electricity,electricity,parent_share,"SHARE(industry_final_demand_for_metal_electricity_parent_share, industry_aluminium_electrolysis_bat_electricity)"
industry_final_demand_for_metal_electricity,industry_aluminium_smeltoven_electricity,electricity,parent_share,"SHARE(industry_final_demand_for_metal_electricity_parent_share, industry_aluminium_smeltoven_electricity)"
industry_final_demand_for_metal_electricity,industry_aluminium_carbothermalreduction_electricity,electricity,parent_share,"SHARE(industry_final_demand_for_metal_electricity_parent_share, industry_aluminium_carbothermalreduction_electricity)"
industry_final_demand_for_metal_electricity,industry_steel_blastfurnace_current_consumption_useable_heat,electricity,parent_share,"SHARE(industry_final_demand_for_metal_electricity_parent_share, industry_steel_blastfurnace_current_consumption_useable_heat)"
industry_final_demand_for_metal_electricity,industry_steel_blastfurnace_bat_consumption_useable_heat,electricity,parent_share,"SHARE(industry_final_demand_for_metal_electricity_parent_share, industry_steel_blastfurnace_bat_consumption_useable_heat)"
industry_final_demand_for_metal_electricity,industry_steel_hisarna_consumption_useable_heat,electricity,parent_share,"SHARE(industry_final_demand_for_metal_electricity_parent_share, industry_steel_hisarna_consumption_useable_heat)"
industry_final_demand_for_metal_electricity,industry_steel_electricfurnace_electricity,electricity,parent_share,"SHARE(industry_final_demand_for_metal_electricity_parent_share, industry_steel_electricfurnace_electricity)"
industry_final_demand_for_metal_network_gas,industry_aluminium_burner_network_gas,network_gas,parent_share,"SHARE(industry_final_demand_for_metal_network_gas_parent_share, industry_aluminium_burner_network_gas)"
industry_final_demand_for_metal_network_gas,industry_steel_blastfurnace_burner_coal_gas,network_gas,parent_share,"SHARE(industry_final_demand_for_metal_network_gas_parent_share, industry_steel_blastfurnace_burner_coal_gas)"
industry_final_demand_for_metal_network_gas,industry_steel_electricfurnace_burner_network_gas,network_gas,parent_share,"SHARE(industry_final_demand_for_metal_network_gas_parent_share, industry_steel_electricfurnace_burner_network_gas)"
industry_final_demand_for_metal_steam_hot_water,industry_steel_hisarna_consumption_useable_heat,useable_heat,parent_share,"SHARE(industry_final_demand_for_metal_steam_hot_water_parent_share, industry_steel_hisarna_consumption_useable_heat)"
energy_distribution_coal_gas,industry_final_demand_coal_gas,coal_gas,parent_share,"SHARE(energy_distribution_coal_gas_parent_share, industry_final_demand_coal_gas)"
energy_distribution_coal_gas,energy_cokesoven_consumption_coal_gas,coal_gas,parent_share,"SHARE(energy_distribution_coal_gas_parent_share, energy_cokesoven_consumption_coal_gas)"
energy_cokesoven_transformation_coal,energy_distribution_coal_gas,coal_gas,child_share,"SHARE(energy_distribution_coal_gas_child_share, energy_cokesoven_transformation_coal)"
energy_steel_blastfurnace_current_transformation_cokes,energy_distribution_coal_gas,coal_gas,child_share,"SHARE(energy_distribution_coal_gas_child_share, energy_steel_blastfurnace_current_transformation_cokes)"
energy_steel_blastfurnace_bat_transformation_cokes,energy_distribution_coal_gas,coal_gas,child_share,"SHARE(energy_distribution_coal_gas_child_share, energy_steel_blastfurnace_bat_transformation_cokes)"
industry_aluminium_burner_network_gas,industry_aluminium_electrolysis_bat_electricity,useable_heat,parent_share,"SHARE(industry_aluminium_burner_network_gas_parent_share, industry_aluminium_electrolysis_bat_electricity)"
industry_aluminium_burner_network_gas,industry_aluminium_smeltoven_electricity,useable_heat,parent_share,"SHARE(industry_aluminium_burner_network_gas_parent_share, industry_aluminium_smeltoven_electricity)"
industry_aluminium_burner_network_gas,industry_aluminium_carbothermalreduction_electricity,useable_heat,parent_share,"SHARE(industry_aluminium_burner_network_gas_parent_share, industry_aluminium_carbothermalreduction_electricity)"
industry_steel_blastfurnace_burner_coal_gas,industry_steel_blastfurnace_bat_consumption_useable_heat,useable_heat,parent_share,"SHARE(industry_steel_blastfurnace_burner_coal_gas_parent_share, industry_steel_blastfurnace_bat_consumption_useable_heat)"
