from,to,carrier,attribute,query
buildings_final_demand_coal,buildings_final_demand_for_space_heating_coal,coal,parent_share,"SHARE(buildings_final_demand_coal_parent_share, buildings_final_demand_for_space_heating_coal)"
buildings_final_demand_coal,buildings_final_demand_for_appliances_coal,coal,parent_share,"SHARE(buildings_final_demand_coal_parent_share, buildings_final_demand_for_appliances_coal)"
buildings_final_demand_crude_oil,buildings_final_demand_for_space_heating_crude_oil,crude_oil,parent_share,"SHARE(buildings_final_demand_crude_oil_parent_share, buildings_final_demand_for_space_heating_crude_oil)"
buildings_final_demand_crude_oil,buildings_final_demand_for_appliances_crude_oil,crude_oil,parent_share,"SHARE(buildings_final_demand_crude_oil_parent_share, buildings_final_demand_for_appliances_crude_oil)"
buildings_final_demand_network_gas,buildings_final_demand_for_space_heating_gas,network_gas,parent_share,"SHARE(buildings_final_demand_network_gas_parent_share, buildings_final_demand_for_space_heating_gas)"
buildings_final_demand_network_gas,buildings_final_demand_for_cooling_gas,network_gas,parent_share,"SHARE(buildings_final_demand_network_gas_parent_share, buildings_final_demand_for_cooling_gas)"
buildings_final_demand_network_gas,buildings_final_demand_for_appliances_gas,network_gas,parent_share,"SHARE(buildings_final_demand_network_gas_parent_share, buildings_final_demand_for_appliances_gas)"
buildings_final_demand_wood_pellets,buildings_final_demand_for_space_heating_wood_pellets,wood_pellets,parent_share,"SHARE(buildings_final_demand_wood_pellets_parent_share, buildings_final_demand_for_space_heating_wood_pellets)"
buildings_final_demand_wood_pellets,buildings_final_demand_for_appliances_wood_pellets,wood_pellets,parent_share,"SHARE(buildings_final_demand_wood_pellets_parent_share, buildings_final_demand_for_appliances_wood_pellets)"
buildings_final_demand_electricity,buildings_final_demand_for_space_heating_electricity,electricity,parent_share,"SHARE(buildings_final_demand_electricity_parent_share, buildings_final_demand_for_space_heating_electricity)"
buildings_final_demand_electricity,buildings_final_demand_for_cooling_electricity,electricity,parent_share,"SHARE(buildings_final_demand_electricity_parent_share, buildings_final_demand_for_cooling_electricity)"
buildings_final_demand_electricity,buildings_final_demand_for_lighting_electricity,electricity,parent_share,"SHARE(buildings_final_demand_electricity_parent_share, buildings_final_demand_for_lighting_electricity)"
