from,to,carrier,attribute,query
transport_final_demand_gasoline,transport_final_demand_for_road_gasoline,gasoline,parent_share,"SHARE(transport_final_demand_gasoline_parent_share,  transport_final_demand_for_road_gasoline)"
transport_final_demand_diesel,transport_final_demand_for_road_diesel,diesel,parent_share,"SHARE(transport_final_demand_diesel_parent_share, transport_final_demand_for_road_diesel)"
transport_final_demand_diesel,transport_final_demand_for_rail_diesel,diesel,parent_share,"SHARE(transport_final_demand_diesel_parent_share, transport_final_demand_for_rail_diesel)"
transport_final_demand_bio_ethanol,transport_final_demand_for_road_bio_ethanol,bio_ethanol,parent_share,"SHARE(transport_final_demand_bio_ethanol_parent_share, transport_final_demand_for_road_bio_ethanol)"
transport_final_demand_biodiesel,transport_final_demand_for_road_biodiesel,biodiesel,parent_share,"SHARE(transport_final_demand_biodiesel_parent_share, transport_final_demand_for_road_biodiesel)"
transport_final_demand_biodiesel,transport_final_demand_for_rail_biodiesel,biodiesel,parent_share,"SHARE(transport_final_demand_biodiesel_parent_share, transport_final_demand_for_rail_biodiesel)"
transport_final_demand_electricity,transport_final_demand_for_road_electricity,electricity,parent_share,"SHARE(transport_final_demand_electricity_parent_share, transport_final_demand_for_road_electricity)"
transport_final_demand_for_road_electricity,transport_car_using_electricity,electricity,parent_share,"SHARE(transport_final_demand_for_road_electricity_parent_share, transport_car_using_electricity)"
transport_road_mixer_gasoline,transport_car_using_gasoline_mix,gasoline_mix,parent_share,"SHARE(transport_road_mixer_gasoline_mix_parent_share, transport_car_using_gasoline_mix)"
transport_road_mixer_diesel,transport_car_using_diesel_mix,diesel_mix,parent_share,"SHARE(transport_road_mixer_diesel_mix_parent_share, transport_car_using_diesel_mix)"
transport_road_compressor_network_gas,transport_car_using_compressed_natural_gas,compressed_network_gas,parent_share,"SHARE(transport_final_demand_compressed_network_gas_parent_share, transport_car_using_compressed_network_gas)"
