from,to,carrier,attribute,query
energy_distribution_bio_oil,energy_mixer_for_gas_power_fuel,bio_oil,child_share,"SHARE(energy_mixer_for_gas_power_fuel_child_share, energy_distribution_bio_oil)"
energy_distribution_crude_oil,energy_mixer_for_gas_power_fuel,crude_oil,child_share,"SHARE(energy_mixer_for_gas_power_fuel_child_share, energy_distribution_crude_oil)"
energy_national_gas_network_natural_gas,energy_mixer_for_gas_power_fuel,network_gas,child_share,"SHARE(energy_mixer_for_gas_power_fuel_child_share, energy_national_gas_network_natural_gas)"
energy_distribution_biogenic_waste,energy_distribution_waste_mix,waste_mix,child_share,"SHARE(energy_distribution_waste_mix_child_share, energy_distribution_biogenic_waste)"
energy_distribution_non_biogenic_waste,energy_distribution_waste_mix,waste_mix,child_share,"SHARE(energy_distribution_waste_mix_child_share, energy_distribution_non_biogenic_waste)"
energy_distribution_biogas,energy_upgrade_biogas,biogas,parent_share,"SHARE(energy_distribution_biogas_parent_share, energy_upgrade_biogas)"
