status,converter key,query
necessary,transport_final_demand_coal,"EB(""transport"", ""hard_coal_(if_no_detail)"")"
necessary,transport_final_demand_lpg,"EB(""transport"", ""liquefied_petroleum_gases_(LPG)"")"
necessary,transport_final_demand_kerosene,"EB(""transport"", kerosene_type_jet_fuel) + EB(""transport"", other_kerosene)"
necessary,transport_final_demand_heavy_fuel_oil,"EB(""transport"", fuel_oil)"
necessary,transport_final_demand_network_gas,"EB(""transport"", natural_gas)"
necessary,transport_final_demand_gasoline,"EB(""transport"", motor_gasoline) + EB(""transport"", aviation_gasoline) + EB(""transport"", gasoline_type_jet_fuel)"
necessary,transport_final_demand_diesel,"EB(""transport"", ""gas/diesel_oil"")"
necessary,transport_final_demand_bio_ethanol,"EB(""transport"", biogasoline)"
necessary,transport_final_demand_biodiesel,"EB(""transport"", biodiesels)"
necessary,transport_final_demand_electricity,"EB(""transport"", electricity)"
necessary,transport_final_demand_crude_oil_non_energetic,"EB(""non-energy use in transport"", total)"
