converter_id;name;key;use_id;sector_id;energy_balance_group_id;co2_free;preset_demand;demand_expected_value;network_capacity_available_in_mw;network_capacity_used_in_mw;technical_lifetime;decrease_in_nominal_capacity_over_lifetime;construction_time;costs_per_mj;network_expansion_costs_in_euro_per_mw;ccs_investment_per_mw_input;ccs_operation_and_maintenance_cost_per_full_load_hour;typical_nominal_input_capacity;decommissioning_costs_per_mw_input;full_load_hours;residual_value_per_mw_input;operation_and_maintenance_cost_fixed_per_mw_input;wacc;operation_and_maintenance_cost_variable_per_full_load_hour;land_use_per_unit;installing_costs_per_mw_input;purchase_price_per_mw_input;economic_lifetime;part_ets;simult_sd;simult_se;simult_wd;simult_we;peak_load_units_present;availability;variability;;;;;;;;;;;;;;;;;
1;hot water demand HH;hot_water_demand;1;1;7;0;3333532837.51423;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;cooling demand HH;cooling_demand;1;1;7;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;heating demand hh;heating_demand;1;1;7;0;NULL;10747233316.4297;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;LED lighting;led_lighting;1;1;11;0;NULL;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;efficient lighting;efficient_lighting;1;1;11;0;NULL;5787916.96492338;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;traditional lighting;traditional_lighting;1;1;11;0;NULL;549852111.667721;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;other appliances;other_appliances;1;1;11;0;138477265.70284;138477265.70284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;solar panel for hot water;solar_panel_for_hot_water;1;1;8;0;NULL;68333333.3333333;;;15;0;0;;;0;0;0.0042;0;791.666666666667;0;10500;0.04;0;0;0;825000;15;0;;;;;;0;0;;;;;;;;;;;;;;;;;
12;heatpump combi;heatpump_boiler;1;1;11;0;NULL;0;;;20;0;0;;;0;0;0.0076;0;1787.04;0;14567.5675675676;0.04;0;0;0;1065789.47368421;20;0;0.353369763508062;0.673623967063799;0.686628288162133;1.68325135088905;0;0;0;;;;;;;;;;;;;;;;;
13;electric boiler;electric_boiler;1;1;11;0;NULL;274577563.043718;;;15;0;0;;;0;0;0.00157894736842105;0;2190;0;1900;0.04;0;0;0;85500;15;0;0.85950853472005;0.810397685972455;0.900165243322982;1.14401938585099;23218.1264200675;0;0;;;;;;;;;;;;;;;;;
14;heatpump with TS;heat_pump_with_chs;1;1;11;0;NULL;0;;;20;0;0;;;0;0;3.108;0;4380;0;30;0.04;0;0;0;1368.75;20;0;0;0;1;1;0;0;0;;;;;;;;;;;;;;;;;
15;airco hh;airco;1;1;11;0;NULL;346193164.257099;;;15;0;0;;;0;0;0.0045;0;560;0;0;0.04;0;0;0;750000;15;0;2.5884483134526;0.737548447243385;0;0;114481.866487136;0;0;;;;;;;;;;;;;;;;;
16;electric heater;electric_heater;1;1;11;0;NULL;211717420.438278;;;15;0;0;;;0;0;0.006;0;1716.96;0;0;0.04;0;0;0;50000;15;0;0;0;2.52710258489892;3.12629656390352;5708.77156584781;0;0;;;;;;;;;;;;;;;;;
17;solar panel for heating;solar_panel_for_heating;1;1;11;0;NULL;0;;;20;0;0;;;0;0;0.013;0;791.666666666667;0;10500;0.04;0;0;0;825000;20;0;;;;;;0;0;;;;;;;;;;;;;;;;;
19;gas heater combi;central_heating;1;1;11;0;NULL;8720328049.25004;;;15;0;0;;;0;0;0.0121836925960637;0;788.4;0;11737;0.04;0;0;0;138710;15;0;;;;;;0;0;;;;;;;;;;;;;;;;;
20;solar PV central production;solar_pv_central_production;1;5;26;0;NULL;;;;25;0.4;0.5;;;0;0;125;0;1000;0;9000;0.1;0;0.230769230769231;0;320000;25;1;1;1;1;1;0;0.98;1;;;;;;;;;;;;;;;;;
21;LV electricity network;lv_electricity_network;1;5;19;0;NULL;;74803.2;23376;40;;;0;457051.6588;;;;;0;;;0.055;;;;;40;;0.7;0.7;0.7;0.7;0;0;0;;;;;;;;;;;;;;;;;
22;city heating network;city_heating_network;1;5;16;0;NULL;778092780.578637;;;30;0;0;;;0;0;0.001;0;8760;0;190000;0.06;0;0;0;7000000;30;0;;;;;;0;0;;;;;;;;;;;;;;;;;
23;Gas conventional;gas_conv;1;5;26;0;NULL;5994694356.77746;;;30;0.02;2.5;;;0;0;2000;0;2856.39475375497;0;682.676861126645;0.1;1584;0.3;0;158400;30;1;1;1;1;1;0.29148507479465;0.89;0;;;;;;;;;;;;;;;;;
24;electricity demand industry ;electricity_demand;1;2;13;0;7148109632.7094;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;heating demand industry ;heating_demand;1;2;7;0;29873611135.3988;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;MV distribution network;mv_distribution_network;1;5;19;0;NULL;;42000;30000;40;;;0;53846.1538;;;;;0;;;0.055;;;;;40;;1;1;1;1;0;0;0;;;;;;;;;;;;;;;;;
