28,energy_chp_combined_cycle_bio_oil,energy_chp_combined_cycle_gas_power_fuelmix
73,energy_power_ultra_supercritical_oil,energy_power_ultra_supercritical_crude_oil
115,other_final_demand_for_heat_oil,other_final_demand_for_heat_crude_oil
600,buildings_final_demand_for_space_heating_oil,buildings_final_demand_for_space_heating_crude_oil
610,buildings_final_demand_for_appliances_oil,buildings_final_demand_for_appliances_crude_oil
15,households_airconditioning_electricity,households_cooling_airconditioning_electricity
323,households_collective_cooling_heatpump_water_water_ts_electricity,households_cooling_collective_heatpump_water_water_ts_electricity
499,energy_manure_production,energy_production_manure
14,households_collective_space_heater_heatpump_water_water_ts_electricity,households_space_heater_collective_heatpump_water_water_ts_electricity
347,buildings_heat_network_steam_hot_water,buildings_heat_network_connection_steam_hot_water
55,buildings_city_cooling_network_ambient_cold,buildings_cooling_collective_cooling_network_electricity
358,buildings_collective_cooling_heatpump_water_water_ts_electricity,buildings_cooling_collective_heatpump_water_water_ts_electricity
360,buildings_airconditioning,buildings_cooling_airconditioning
356,buildings_collective_space_heater_heatpump_water_water_ts_electricity,buildings_space_heater_collective_heatpump_water_water_ts_electricity
