converter_id,name,key
1,hot water demand HH,households_useful_demand_hot_water
2,cooling demand HH,households_useful_demand_for_cooling_after_insulation
4,heating demand hh,households_useful_demand_for_space_heating_after_insulation
6,LED lighting,households_lighting_led_electricity
7,efficient lighting,households_lighting_efficient_fluorescent_electricity
8,traditional lighting,households_lighting_incandescent_electricity
10,other appliances,households_appliances_other_electricity
11,solar panel,households_water_heater_solar_thermal
12,heatpump combi,households_water_heater_heatpump_ground_water_electricity
13,electric boiler,households_water_heater_resistive_electricity
14,households_space_heater_heatpump_air_water_electricity,households_space_heater_heatpump_air_water_electricity
15,airco hh,households_cooling_airconditioning_electricity
16,electric heater,households_space_heater_electricity
19,gas heater combi,households_space_heater_combined_network_gas
20,solar PV central production,energy_power_solar_pv_solar_radiation
21,LV electricity network,energy_power_lv_network_electricity
22,city heating network,households_heat_network_connection_steam_hot_water
23,Gas conventional,energy_power_ultra_supercritical_gas_power_fuelmix
24,electricity demand industry ,industry_useful_demand_electricity
25,heating demand industry ,industry_useful_demand_useable_heat
26,MV distribution network,energy_power_mv_distribution_network_electricity
27,gas CHP industry,industry_chp_combined_cycle_gas_power_fuelmix
28,Central Gas CHP,energy_chp_combined_cycle_gas_power_fuelmix
29,wood pellets CHP industry,industry_chp_supercritical_wood_pellets
32,truck kms demand,transport_useful_demand_truck_kms
33,car kms demand,transport_useful_demand_car_kms
34,electric trucks,transport_truck_using_electricity
35,diesel trucks,transport_truck_using_diesel_mix
36,gasoline trucks,transport_truck_using_gasoline_mix
37,electric cars,transport_car_using_electricity
38,diesel cars,transport_car_using_diesel_mix
39,gasoline cars,transport_car_using_gasoline_mix
40,LPG cars,transport_car_using_lpg
41,compressed gas trucks,transport_truck_using_compressed_natural_gas
42,compressed gas cars,transport_car_using_compressed_natural_gas
44,oil demand transport non-energetic,transport_useful_demand_crude_oil_non_energetic
46,ships_diesel,transport_ship_using_diesel
47,ships_biodiesel,transport_ship_using_biodiesel
48,trains electricity,transport_train_using_electricity
49,cooling demand buildings,buildings_useful_demand_cooling
52,ground source heatpump,households_space_heater_heatpump_ground_water_electricity
55,city cooling network,buildings_cooling_collective_cooling_network_electricity
56,heating demand agriculture ,agriculture_useful_demand_useable_heat
57,gas demand agriculture,agriculture_final_demand_for_heat_network_gas
58,electricity demand agriculture ,agriculture_useful_demand_electricity
61,trains coal,transport_train_using_coal
62,electricity demand other,other_useful_demand_electricity
63,heat network,energy_heat_network_steam_hot_water
64,Waste incinerator ,energy_power_supercritical_waste_mix
65,HV electricity network,energy_power_hv_network_electricity
66,Coal pwd,energy_power_ultra_supercritical_coal
67,Coal pwd CCS,energy_power_ultra_supercritical_ccs_coal
68,Coal Conv.,energy_power_supercritical_coal 
69,Coal Lignite,energy_power_ultra_supercritical_lignite
70,Coal Oxyfuel CCS,energy_power_ultra_supercritical_oxyfuel_ccs_lignite
71,Coal IGCC,energy_power_combined_cycle_coal
72,Coal IGCC CCS,energy_power_combined_cycle_ccs_coal
73,Oil plant,energy_power_ultra_supercritical_crude_oil
74,Gas CCGT,energy_power_combined_cycle_gas_power_fuelmix
75,Coal CHP,energy_chp_ultra_supercritical_coal
76,district heat hot water,households_water_heater_district_heating_steam_hot_water
78,interconnection,energy_interconnector_imported_electricity
79,Nuclear III,energy_power_nuclear_gen3_uranium_oxide
80,Wind inland,energy_power_wind_turbine_inland
81,Wind coastal,energy_power_wind_turbine_coastal
82,Wind offshore,energy_power_wind_turbine_offshore
83,Co-firing coal,energy_power_ultra_supercritical_cofiring_wood_pellets
