key,share
industry_final_demand_for_other_minerals_crude_oil,4.74959781900924E-01
industry_final_demand_for_other_transport_equipment_crude_oil,0.00000000000000E+00
industry_final_demand_for_other_machinery_crude_oil,0.00000000000000E+00
industry_final_demand_for_other_mining_crude_oil,1.23969469442009E-01
industry_final_demand_for_other_food_crude_oil,7.90253813990515E-02
industry_final_demand_for_other_paper_crude_oil,5.43473332346428E-02
industry_final_demand_for_other_wood_products_crude_oil,0.00000000000000E+00
industry_final_demand_for_other_construction_crude_oil,1.32303052952278E-03
industry_final_demand_for_other_textile_crude_oil,9.00145240651233E-03
industry_final_demand_for_other_non_specified_crude_oil,2.57373551087338E-01
