year,max_demand
2010,673000
2011,688200
2012,703400
2013,718600
2014,733800
2015,749000
2016,765000
2017,781000
2018,797000
2019,813000
2020,829000
2021,841200
2022,853400
2023,865600
2024,877800
2025,890000
2026,900600
2027,911200
2028,921800
2029,932400
2030,943000
2031,953600
2032,964200
2033,974800
2034,985400
2035,996000
2036,1006600
2037,1017200
2038,1027800
2039,1038400
2040,1049000
2041,1059600
2042,1070200
2043,1080800
2044,1091400
2045,1102000
2046,1112600
2047,1123200
2048,1133800
2049,1144400
2050,1155000
