key,share
industry_final_demand_for_other_minerals_electricity,1.00562879309975E-01
industry_final_demand_for_other_transport_equipment_electricity,6.74867418400978E-02
industry_final_demand_for_other_machinery_electricity,1.71156995442296E-01
industry_final_demand_for_other_mining_electricity,2.16368954348163E-02
industry_final_demand_for_other_food_electricity,1.52456739740284E-01
industry_final_demand_for_other_paper_electricity,1.69534330517541E-01
industry_final_demand_for_other_wood_products_electricity,2.96163651958208E-02
industry_final_demand_for_other_construction_electricity,2.22570069356211E-02
industry_final_demand_for_other_textile_electricity,3.11802964913661E-02
industry_final_demand_for_other_non_specified_electricity,2.34111749092182E-01
