key,share
industry_final_demand_for_other_minerals_network_gas,2.20683079525309E-01
industry_final_demand_for_other_transport_equipment_network_gas,4.34379780324939E-02
industry_final_demand_for_other_machinery_network_gas,1.18108798850801E-01
industry_final_demand_for_other_mining_network_gas,1.19107576484181E-02
industry_final_demand_for_other_food_network_gas,2.02508639081886E-01
industry_final_demand_for_other_paper_network_gas,9.39356075805741E-02
industry_final_demand_for_other_wood_products_network_gas,1.07209363327713E-02
industry_final_demand_for_other_construction_network_gas,2.45517078114237E-02
industry_final_demand_for_other_textile_network_gas,3.69288874808705E-02
industry_final_demand_for_other_non_specified_network_gas,2.37213607655453E-01
