key,share
industry_final_demand_for_other_minerals_wood_pellets,8.91407900488604E-02
industry_final_demand_for_other_transport_equipment_wood_pellets,4.42325849413060E-04
industry_final_demand_for_other_machinery_wood_pellets,4.95481242146849E-03
industry_final_demand_for_other_mining_wood_pellets,1.55585349274076E-03
industry_final_demand_for_other_food_wood_pellets,4.98776245952998E-02
industry_final_demand_for_other_paper_wood_pellets,5.08199003038371E-01
industry_final_demand_for_other_wood_products_wood_pellets,2.91583515149563E-01
industry_final_demand_for_other_construction_wood_pellets,3.72171411979285E-03
industry_final_demand_for_other_textile_wood_pellets,4.60103898549665E-03
industry_final_demand_for_other_non_specified_wood_pellets,4.59233222989933E-02
