key,share
industry_final_demand_for_other_minerals_steam_hot_water,2.25142575839554E-02
industry_final_demand_for_other_transport_equipment_steam_hot_water,6.43742631148300E-02
industry_final_demand_for_other_machinery_steam_hot_water,7.49146204478438E-02
industry_final_demand_for_other_mining_steam_hot_water,2.36115142017178E-02
industry_final_demand_for_other_food_steam_hot_water,1.11105441450827E-01
industry_final_demand_for_other_paper_steam_hot_water,2.50992485433949E-01
industry_final_demand_for_other_wood_products_steam_hot_water,5.10502011117742E-02
industry_final_demand_for_other_construction_steam_hot_water,6.27203213025197E-03
industry_final_demand_for_other_textile_steam_hot_water,2.16305337724758E-02
industry_final_demand_for_other_non_specified_steam_hot_water,3.73534650752375E-01
