key,demand
industry_final_demand_for_chemical_fertilizers_network_gas_non_energetic_co2,2.83692000000000E+03
industry_chemicals_fertilizers_emitted_co2,9.92922000000000E+02
molecules_other_utilisation_co2,1.84399800000000E+03
