converter_id;name;key;use_id;sector_id;energy_balance_group_id;co2_free;preset_demand;demand_expected_value;network_capacity_available_in_mw;network_capacity_used_in_mw;technical_lifetime;decrease_in_nominal_capacity_over_lifetime;construction_time;costs_per_mj;network_expansion_costs_in_euro_per_mw;ccs_investment_per_mw_input;ccs_operation_and_maintenance_cost_per_full_load_hour;typical_nominal_input_capacity;decommissioning_costs_per_mw_input;full_load_hours;residual_value_per_mw_input;operation_and_maintenance_cost_fixed_per_mw_input;wacc;operation_and_maintenance_cost_variable_per_full_load_hour;land_use_per_unit;installing_costs_per_mw_input;purchase_price_per_mw_input;economic_lifetime;part_ets;simult_sd;simult_se;simult_wd;simult_we;peak_load_units_present;availability;variability;;;;;;;;;;;;;;;;;
80;Wind inland;wind_inland;3;5;26;0;NULL;86446421975.2174;;;20;0;1;;;0;0;3.09278350515464;0;1700;0;49651.875;0.1;0;0.2;0;1387039.375;20;1;0.5;0.5;0.5;0.5;4567.15845947499;0.95;0.7;;;;;;;;;;;;;;;;;
81;Wind coastal;wind_coastal;3;5;26;0;NULL;64233990395.9166;;;18;0;1;;;0;0;3.09278350515464;0;2400;0;48888;0.1;0;0.2;0;1387039.375;18;1;0.5;0.5;0.5;0.5;2403.81831342743;0.95;0.7;;;;;;;;;;;;;;;;;
82;Wind offshore;wind_offshore;3;5;26;0;NULL;0;;;15;0;1.5;;;0;0;3.09278350515464;0;3300;0;102432;0.1;0;0.2;0;2425000;15;1;0.5;0.5;0.5;0.5;0;0.92;0.7;;;;;;;;;;;;;;;;;
83;Co-firing coal;co_firing_coal;3;5;26;0;NULL;283591836734.694;;;30;0.02;3.5;;;0;0;3265.30612244898;0;6433.33333333333;0;2342.8125;0.1;2350;0.3;0;433854.166666667;30;1;1;1;1;1;3.75;0.89;0;;;;;;;;;;;;;;;;;
84;Co-firing gas;co_firing_gas;3;5;26;0;NULL;0;;;30;0.04;2.5;;;0;0;1379.31034482759;0;6329.1;0;4775.32853427896;0.1;2400;0.11;0;315121.25;30;1;1;1;1;1;0;0.89;0;;;;;;;;;;;;;;;;;
85;Solar CSP;solar_csp;3;5;26;0;NULL;0;;;30;0;0.5;;;0;0;142.857142857143;0;500;0;2800;0.1;50;2;0;1225000;30;1;1;1;1;1;0;0.99;0.015;;;;;;;;;;;;;;;;;
86;Central geothermal heat;geothermal_heat;3;5;24;0;NULL;0;;;25;0;0;;;0;0;8.5;0;3672.39293209657;0;3333.33333333333;0.1;0;0;0;1000000;25;0;;;;;;0;0;;;;;;;;;;;;;;;;;
87;Hydro river;hydro_river;3;5;26;0;NULL;70147282040.8163;;;45;0;2;;;0;0;10.2040816326531;0;4016.15989425413;0;31360;0.1;0;0;0;3528000;45;1;1;1;1;1;475.470337406634;0.98;0.015;;;;;;;;;;;;;;;;;
88;Hydro Mount.;hydro_mount;3;5;26;0;NULL;4942803789.47368;;;50;0;4;;;0;0;526.315789473684;0;1798.13028427906;0;10290.1071032877;0.1;1246.04483013699;100;0;1174389.70693151;50;1;1;1;1;1;1.45078586507758;0.98;0;;;;;;;;;;;;;;;;;
90;Geothermal electricity;geothermal_electricity;3;5;26;0;NULL;0;;;30;0;4;;;0;0;28;0;8322;0;62186.145;0.1;0;1.5;0;822500;30;1;1;1;1;1;0;0.95;0;;;;;;;;;;;;;;;;;
91;national gas network;national_gas_network;3;5;;0;NULL;2972726410384.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;gas treatment;gas_treatment;3;5;29;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;diesel distribution;diesel_distribution;3;3;20;0;NULL;1191912297386.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;gasoline distribution;gasoline_distribution;3;3;20;0;NULL;845018362082.877;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;kerosine distribution;kerosine_distribution;3;3;22;0;NULL;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;bio-diesel distribution;bio_diesel_distribution;3;3;22;0;NULL;114112000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;bio-ethanol distribution;bio_ethanol_distribution;3;3;22;0;NULL;13268000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;LPG distribution;lpg_distribution;3;3;22;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;bio-oil production;bio_oil_production;3;5;33;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;biomass residuals;biomass_residuals;3;5;33;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;gas extraction;gas_extraction;3;5;34;0;596333333333.333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;bio-oil distribution;bio_oil_distribution;3;5;28;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;oil extraction;oil_extraction;3;5;34;0;181333333333.333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;LNG import;lng_import;3;5;;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;coal extraction;coal_extraction;3;5;34;0;648440000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;uranium import;uranium_import;3;5;;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;compressed gas distribution;compressed_gas_distribution;1;3;22;0;NULL;4882000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;oil distribution;oil_distribution;3;5;28;0;NULL;4834390101265.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;biomass distribution;biomass_distribution;3;5;28;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;greengas distribution;greengas_distribution;3;5;28;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;coal distribution;coal_distribution;3;5;28;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;coal demand other energetic;coal_demand;1;6;13;0;NULL;2317932000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;oil demand other energetic;oil_demand;1;6;13;0;NULL;55507800000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;Oil demand industry energetic;oil_demand;1;2;13;0;NULL;426597000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;Gas demand industry energetic;gas_demand;1;2;13;0;NULL;552444100828.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;Coal demand industry non energetic;coal_demand;2;2;13;1;16014452000;16014452000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;Biomass demand industry;biomass_demand;3;2;13;0;NULL;156342762.914494;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;gas demand other;gas_demand;1;6;13;0;NULL;60091650000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;trains oil;trains_oil_demand;1;3;11;0;NULL;16716000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126;LPG production;lpg_production;3;3;23;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;diesel production;diesel_production;3;3;23;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;gasoline production;gasoline_production;3;3;23;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129;kerosine production;kerosine_production;3;3;23;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;bio-diesel production;bio_diesel_production;1;3;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
131;bio-ethanol production;bio_ethanol_production;1;3;23;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;greengas production;greengas_production;3;5;33;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
