key,share
industry_final_demand_for_other_minerals_wood_pellets,9.28788464646319E-02
industry_final_demand_for_other_transport_equipment_wood_pellets,7.24868904886715E-03
industry_final_demand_for_other_machinery_wood_pellets,2.34201111396808E-02
industry_final_demand_for_other_mining_wood_pellets,3.65021988249211E-04
industry_final_demand_for_other_food_wood_pellets,2.73587819725918E-02
industry_final_demand_for_other_paper_wood_pellets,2.82713572413672E-01
industry_final_demand_for_other_wood_products_wood_pellets,4.83279112495289E-01
industry_final_demand_for_other_construction_wood_pellets,0.00000000000000E+00
industry_final_demand_for_other_textile_wood_pellets,1.49935914837937E-03
industry_final_demand_for_other_non_specified_wood_pellets,8.12365053286393E-02
