key,share
industry_final_demand_for_other_minerals_steam_hot_water,7.27298010062336E-03
industry_final_demand_for_other_transport_equipment_steam_hot_water,2.09057173707656E-01
industry_final_demand_for_other_machinery_steam_hot_water,1.40796105764765E-01
industry_final_demand_for_other_mining_steam_hot_water,6.21249563309444E-04
industry_final_demand_for_other_food_steam_hot_water,9.63558179823412E-02
industry_final_demand_for_other_paper_steam_hot_water,3.18941212479028E-01
industry_final_demand_for_other_wood_products_steam_hot_water,5.09094680083257E-02
industry_final_demand_for_other_construction_steam_hot_water,0.00000000000000E+00
industry_final_demand_for_other_textile_steam_hot_water,3.78526212628475E-02
industry_final_demand_for_other_non_specified_steam_hot_water,1.38193371131104E-01
