key,share
industry_final_demand_for_other_minerals_coal,6.23205006502606E-01
industry_final_demand_for_other_transport_equipment_coal,1.35786989495023E-03
industry_final_demand_for_other_machinery_coal,3.63419291922338E-03
industry_final_demand_for_other_mining_coal,2.75617380126089E-02
industry_final_demand_for_other_food_coal,8.80159543868033E-02
industry_final_demand_for_other_paper_coal,1.53397952052624E-01
industry_final_demand_for_other_wood_products_coal,0.00000000000000E+00
industry_final_demand_for_other_construction_coal,0.00000000000000E+00
industry_final_demand_for_other_textile_coal,2.73827733405621E-03
industry_final_demand_for_other_non_specified_coal,1.00089008897128E-01
