key,share
industry_final_demand_for_other_minerals_electricity,1.47542465388838E-01
industry_final_demand_for_other_transport_equipment_electricity,6.07689139029982E-02
industry_final_demand_for_other_machinery_electricity,8.56757382512927E-02
industry_final_demand_for_other_mining_electricity,3.05560240143072E-02
industry_final_demand_for_other_food_electricity,2.16636542386942E-01
industry_final_demand_for_other_paper_electricity,1.18473123012822E-01
industry_final_demand_for_other_wood_products_electricity,3.17224386660454E-02
industry_final_demand_for_other_construction_electricity,5.66978644315309E-02
industry_final_demand_for_other_textile_electricity,4.55824022120146E-02
industry_final_demand_for_other_non_specified_electricity,2.06344487733209E-01
