key,share
industry_final_demand_for_other_minerals_electricity,6.57188360403105E-02
industry_final_demand_for_other_transport_equipment_electricity,2.92381541410276E-02
industry_final_demand_for_other_machinery_electricity,1.44259638563462E-01
industry_final_demand_for_other_mining_electricity,1.16416232356871E-02
industry_final_demand_for_other_food_electricity,3.45118091688027E-01
industry_final_demand_for_other_paper_electricity,1.36802557122311E-01
industry_final_demand_for_other_wood_products_electricity,9.17380889554469E-03
industry_final_demand_for_other_construction_electricity,2.61803171729215E-02
industry_final_demand_for_other_textile_electricity,2.02252605076549E-02
industry_final_demand_for_other_non_specified_electricity,2.11641712633055E-01
