key,demand,max_demand
energy_production_bio_ethanol,3.59650000000000E+03,
energy_production_biodiesel,9.14900000000000E+03,
energy_production_bio_oil,0.00000000000000E+00,
energy_production_biogas,4.96814542506393E+04,
energy_production_biogenic_waste,3.24237500000000E+04,1.40483000000000E+05
energy_production_non_biogenic_waste,3.19548700000000E+04,1.38451000000000E+05
energy_production_wood_pellets,,
energy_production_bio_residues_for_firing,,1.31891376175200E+05
energy_production_manure,,
energy_production_corn,,
energy_production_wood,1.17180000000000E+04,
