key,share
industry_final_demand_for_other_minerals_wood_pellets_non_energetic,0.00000000000000E+00
industry_final_demand_for_other_transport_equipment_wood_pellets_non_energetic,0.00000000000000E+00
industry_final_demand_for_other_machinery_wood_pellets_non_energetic,0.00000000000000E+00
industry_final_demand_for_other_mining_wood_pellets_non_energetic,0.00000000000000E+00
industry_final_demand_for_other_food_wood_pellets_non_energetic,0.00000000000000E+00
industry_final_demand_for_other_paper_wood_pellets_non_energetic,0.00000000000000E+00
industry_final_demand_for_other_wood_products_wood_pellets_non_energetic,0.00000000000000E+00
industry_final_demand_for_other_construction_wood_pellets_non_energetic,0.00000000000000E+00
industry_final_demand_for_other_textile_wood_pellets_non_energetic,0.00000000000000E+00
industry_final_demand_for_other_non_specified_wood_pellets_non_energetic,1.00000000000000E+00
