definition_id;converter_id
;
3;1
3;2
3;4
3;10
8;11
9;11
20;11
8;12
9;12
21;12
8;13
9;13
17;13
20;13
8;14
9;14
17;14
21;14
8;15
9;15
17;15
21;15
8;16
9;16
17;16
20;16
8;17
9;17
20;17
8;19
9;19
20;19
1;20
4;20
7;20
10;20
17;20
19;20
17;21
18;21
8;22
9;22
20;22
7;23
10;23
19;23
3;24
3;25
17;26
18;26
7;27
17;27
22;27
7;28
10;28
17;28
22;28
7;29
10;29
17;29
22;29
3;34
17;34
18;34
3;35
18;35
3;36
18;36
3;37
17;37
18;37
3;38
18;38
3;39
18;39
3;40
18;40
3;41
18;41
3;42
18;42
3;44
11;44
8;52
9;52
17;52
21;52
3;56
3;58
3;62
7;64
10;64
17;64
19;64
18;65
7;66
10;66
19;66
7;67
10;67
19;67
7;68
10;68
19;68
7;69
10;69
19;69
7;70
10;70
19;70
7;71
10;71
19;71
7;72
10;72
19;72
7;73
10;73
19;73
7;74
10;74
19;74
7;75
10;75
22;75
8;76
9;76
20;76
7;77
10;77
17;77
22;77
18;78
7;79
10;79
19;79
1;80
4;80
7;80
10;80
17;80
19;80
1;81
4;81
7;81
10;81
17;81
19;81
1;82
4;82
7;82
10;82
19;82
7;83
10;83
19;83
1;85
4;85
7;85
10;85
17;85
19;85
8;86
20;86
1;87
4;87
7;87
10;87
17;87
19;87
1;88
4;88
7;88
10;88
19;88
1;90
4;90
7;90
10;90
17;90
19;90
13;96
13;97
1;100
6;100
1;101
6;101
1;102
6;102
13;103
1;104
6;104
1;105
5;105
23;105
1;106
6;106
1;107
5;107
23;107
13;111
3;119
11;119
1;130
6;130
1;131
6;131
1;138
5;138
23;138
1;139
5;139
23;139
1;140
5;140
23;140
1;142
5;142
23;142
1;143
5;143
23;143
1;144
5;144
23;144
5;145
23;145
5;146
23;146
1;148
5;148
23;148
3;151
11;151
3;152
11;152
3;153
11;153
3;156
11;156
8;157
9;157
20;157
3;161
11;161
2;162
15;162
18;162
2;163
2;164
2;165
2;167
2;168
2;169
15;169
18;169
2;170
2;172
2;173
2;175
2;176
2;177
15;177
18;177
2;178
2;180
2;181
3;182
11;182
2;184
2;185
2;186
15;186
18;186
2;187
2;188
2;189
2;190
2;197
11;197
2;200
11;200
2;201
11;201
2;202
11;202
15;202
18;202
2;203
11;203
2;205
11;205
2;206
15;206
18;206
2;210
11;210
2;211
11;211
8;212
9;212
20;212
8;213
9;213
20;213
8;215
9;215
20;215
3;217
2;227
3;227
15;227
18;227
2;228
3;228
2;229
3;229
2;230
3;230
1;231
4;231
7;231
9;231
17;231
19;231
1;235
1;236
8;239
9;239
21;239
1;240
6;240
1;242
5;242
13;242
23;242
1;243
5;243
23;243
2;245
3;245
1;246
5;246
23;246
5;249
2;250
2;251
1;256
2;256
6;256
7;261
9;261
17;261
22;261
8;262
20;262
8;263
9;263
20;263
8;264
9;264
20;264
7;265
9;265
17;265
22;265
3;266
8;267
9;267
20;267
8;268
9;268
20;268
8;269
9;269
20;269
8;270
9;270
20;270
20;271
1;272
6;272
8;273
20;273
8;274
20;274
8;275
20;275
8;276
20;276
8;279
17;279
21;279
8;280
21;280
2;281
18;286
13;289
2;290
5;290
23;290
3;291
18;291
3;295
17;301
18;301
17;302
18;302
17;303
18;303
1;304
23;304
1;305
23;305
1;306
23;306
1;307
23;307
8;308
20;308
16;312
8;316
17;316
21;316
8;318
17;318
22;318
7;319
8;319
17;319
22;319
8;320
21;320
8;321
17;321
21;321
8;322
21;322
8;323
17;323
21;323
3;324
3;329
3;330
3;332
3;333
3;334
3;335
3;337
18;338
3;339
3;340
3;342
1;346
4;346
7;346
17;346
19;346
8;347
20;347
8;348
20;348
8;349
17;349
20;349
7;350
8;350
17;350
22;350
7;351
8;351
17;351
22;351
7;352
8;352
17;352
22;352
8;353
20;353
8;354
21;354
8;355
20;355
8;356
17;356
21;356
8;357
21;357
8;358
17;358
21;358
3;359
8;360
17;360
21;360
3;361
2;362
2;363
2;364
2;366
18;371
8;375
20;375
8;376
22;376
8;377
20;377
8;378
20;378
18;389
18;390
8;391
9;391
20;391
7;392
10;392
19;392
3;397
3;398
7;409
10;409
19;409
2;415
3;415
8;417
9;417
17;417
22;417
7;423
10;423
22;423
7;424
10;424
22;424
3;426
3;428
3;429
8;430
10;430
20;430
8;431
10;431
20;431
8;432
10;432
20;432
8;433
10;433
20;433
8;434
10;434
20;434
8;435
10;435
20;435
7;436
10;436
22;436
7;437
9;437
22;437
7;438
9;438
22;438
8;440
20;440
7;441
12;441
22;441
1;476
13;478
1;479
23;479
1;480
23;480
1;481
23;481
1;482
23;482
1;483
23;483
1;484
23;484
1;485
23;485
1;488
23;488
5;489
1;490
23;490
1;491
5;491
13;491
23;491
13;492
1;494
5;494
23;494
1;496
6;496
1;499
6;499
1;501
6;501
16;502
16;503
16;504
16;505
16;506
16;507
16;508
16;509
16;511
16;512
16;513
16;514
16;515
16;516
16;517
16;518
1;521
5;521
23;521
1;522
5;522
23;522
1;523
6;523
1;524
6;524
2;558
2;559
2;560
2;561
2;562
2;563
2;564
2;565
2;566
2;567
18;567
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
