key,demand,max_demand
energy_production_bio_ethanol,0,
energy_production_biodiesel,18.16699,
energy_production_bio_oil,0,
energy_production_biogenic_waste,36.62797,20
energy_production_non_biogenic_waste,31.202,20
energy_production_wood_pellets,,
energy_production_bio_residues_for_firing,,34.0872093
energy_production_manure,,
energy_production_corn,,
energy_production_algae_diesel,0,
energy_production_wood,0,
