key,demand,full_load_hours
energy_heater_for_heat_network_geothermal,0,3672
energy_heater_for_heat_network_wood_pellets,0,2190
energy_heater_for_heat_network_coal,0,2190
energy_heater_for_heat_network_lignite,0,2190
energy_heater_for_heat_network_crude_oil,0,2190
energy_heater_for_heat_network_network_gas,21104.11351,2190
energy_heater_for_heat_network_waste_mix,9521.621622,2190
energy_power_supercritical_coal,45306,4400
energy_power_ultra_supercritical_coal,76823.21739,6919
energy_power_ultra_supercritical_ccs_coal,0,5972
energy_power_ultra_supercritical_cofiring_coal,40114.28571,6919
energy_power_combined_cycle_coal,6000.794702,5099
energy_power_combined_cycle_ccs_coal,0,5972
energy_power_ultra_supercritical_lignite,0,6329
energy_power_ultra_supercritical_oxyfuel_ccs_lignite,0,5972
energy_power_turbine_network_gas,2947.129412,906
energy_power_combined_cycle_network_gas,151973.64,5522
energy_power_combined_cycle_ccs_network_gas,0,4818
energy_power_ultra_supercritical_network_gas,20040.48,1388
energy_power_ultra_supercritical_crude_oil,0,3504
energy_power_engine_diesel,0,3504
energy_power_supercritical_waste_mix,5515.2,7065
energy_power_nuclear_gen2_uranium_oxide,0,5256
energy_power_nuclear_gen3_uranium_oxide,41410,7843
energy_power_hydro_river,209.3877551,2703
energy_power_hydro_mountain,0,3942
energy_power_geothermal,0,8250
energy_power_solar_pv_solar_radiation,180,1050
energy_power_solar_csp_solar_radiation,0,500
energy_power_wind_turbine_coastal,2536.329897,3000
energy_power_wind_turbine_offshore,3066.309278,3500
energy_power_wind_turbine_inland,13325.19588,2500
buildings_solar_pv_solar_radiation,742.9711576,1050
households_solar_pv_solar_radiation,1349.528842,1050
agriculture_chp_engine_network_gas,91192.65982,4000
agriculture_chp_engine_biogas,4113.252,8000
agriculture_chp_supercritical_wood_pellets,0,7500
households_collective_chp_network_gas,0,4500
households_collective_chp_biogas,0,8000
households_collective_chp_wood_pellets,0,7500
buildings_collective_chp_network_gas,2458.601578,4500
buildings_chp_engine_biogas,3407.14,8000
buildings_collective_chp_wood_pellets,0,7500
industry_chp_turbine_gas_power_fuelmix,19704.02676,8000
industry_chp_engine_gas_power_fuelmix,685.6712609,6000
industry_chp_combined_cycle_gas_power_fuelmix,48889.95549,8000
industry_chp_ultra_supercritical_coal,0,7000
energy_chp_combined_cycle_network_gas,204982.3256,6000
energy_chp_ultra_supercritical_cofiring_coal,32088.64865,7000
energy_chp_ultra_supercritical_coal,39060,8000
energy_chp_ultra_supercritical_lignite,0,7000
energy_chp_supercritical_waste_mix,45133.33333,8000
